AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
27,Cobalt,Co,58.933,32,27,27,4,9,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.7,1.88,7.881,8.86,1768.15,3200,14,Brandt,1735,0.421,4,0,[Ar] 3d7 4s2,59
28,Nickel,Ni,58.693,31,28,28,4,10,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.6,1.91,7.6398,8.91,1726.15,3186,11,Cronstedt,1751,0.444,4,0,[Ar] 3d8 4s2,59
29,Copper,Cu,63.546,35,29,29,4,11,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.6,1.9,7.7264,8.96,1357.75,2835,11,Prehistoric,,0.385,4,0,[Ar] 3d10 4s1,64
30,Zinc,Zn,65.38,35,30,30,4,12,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.5,1.65,9.3942,7.13,692.88,1180,15,Prehistoric,,0.388,4,0,[Ar] 3d10 4s2,65
31,Gallium,Ga,69.723,39,31,31,4,13,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,1.8,1.81,5.9993,5.91,302.91,2477,14,de Boisbaudran,1875,0.371,4,3,[Ar] 3d10 4s2 4p1,70
32,Germanium,Ge,72.64,41,32,32,4,14,solid,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.5,2.01,7.8994,5.32,1211.45,3106,17,Winkler,1886,0.32,4,4,[Ar] 3d10 4s2 4p2,73
33,Arsenic,As,74.922,42,33,33,4,15,solid,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.3,2.18,9.7886,5.78,1090.15,887,14,Albertus Magnus,1250,0.329,4,5,[Ar] 3d10 4s2 4p3,75
34,Selenium,Se,78.96,45,34,34,4,16,solid,FALSE,TRUE,FALSE,TRUE,FALSE,Nonmetal,1.2,2.55,9.7524,4.81,494.15,958,20,Berzelius,1817,0.321,4,6,[Ar] 3d10 4s2 4p4,79
35,Bromine,Br,79.904,45,35,35,4,17,liq,FALSE,TRUE,FALSE,TRUE,FALSE,Halogen,1.1,2.96,11.8138,3.12,266.05,332,19,Balard,1826,0.474,4,7,[Ar] 3d10 4s2 4p5,80
36,Krypton,Kr,83.798,48,36,36,4,18,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Noble Gas,1,,13.9996,0.00373,115.93,119.93,23,Ramsay and Travers,1898,0.248,4,8,[Ar] 3d10 4s2 4p6,84
37,Rubidium,Rb,85.468,48,37,37,5,1,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,3,0.82,4.1771,1.53,312.79,961,20,Bunsen and Kirchoff,1861,0.363,5,1,[Kr] 5s1,85
38,Strontium,Sr,87.62,50,38,38,5,2,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,2.5,0.95,5.6949,2.64,1042.15,1655,18,Davy,1808,0.301,5,2,[Kr] 5s2,88
39,Yttrium,Y,88.906,50,39,39,5,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.3,1.22,6.2173,4.47,1799.15,3609,21,Gadolin,1794,0.298,5,0,[Kr] 4d1 5s2,89
40,Zirconium,Zr,91.224,51,40,40,5,4,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.2,1.33,6.6339,6.51,2125.15,4682,20,Klaproth,1789,0.278,5,0,[Kr] 4d2 5s2,91
